1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6
1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7
1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	-2	25	-39	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-77	1	6	6	1	7	6
1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	-2	25	-120	-2	25	0	-2	25	0	-2	25	32	-2	25	36	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	100	-2	25	68	-2	25	64	-2	25	50	1	6	7	1	7	7
1	6	6	1	7	6	1	6	6	1	7	6	-2	25	-39	-2	25	-127	-2	25	-128	-2	25	0	-2	25	0	-2	25	34	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	-2	25	72	-2	25	50	1	6	6	1	7	6
1	6	7	1	7	7	1	6	7	1	7	7	-2	25	-120	-2	25	0	-2	25	0	-2	25	32	-2	25	36	-2	25	118	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	-2	25	-56	-2	25	50	1	6	7	1	7	7
1	6	6	1	7	6	-2	25	-39	-2	25	-127	-2	25	-128	-2	25	0	-2	25	0	-2	25	34	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	-2	25	-39	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-111	-2	25	-77	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	-2	25	-56	-2	25	50	1	6	6	1	7	6
1	6	7	1	7	7	-2	25	-56	-2	25	0	-2	25	0	-2	25	32	-2	25	36	-2	25	118	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	-2	25	-120	-2	25	0	-2	25	0	-2	25	32	-2	25	36	-2	25	118	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	-2	25	-120	-2	25	50	1	6	7	1	7	7
1	6	6	1	7	6	-2	25	-56	-2	25	0	-2	25	0	-2	25	34	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	1	6	6	1	7	6	-2	25	-39	-2	25	-127	-2	25	-128	-2	25	0	-2	25	0	-2	25	34	1	6	6	1	7	6	1	6	6	1	7	6	-2	25	-39	-2	25	-111	-2	25	-111	-2	25	-127	-2	25	-128	-2	25	50	1	6	6	1	7	6
1	6	7	1	7	7	-2	25	-56	-2	25	32	-2	25	36	-2	25	118	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	1	6	7	1	7	7	-2	25	-120	-2	25	0	-2	25	0	-2	25	32	-2	25	36	-2	25	118	1	6	7	1	7	7	1	6	7	1	7	7	-2	25	-120	-2	25	0	-2	25	0	-2	25	32	-2	25	36	-2	25	118	1	6	7	1	7	7
